cpg,gene,in_type2_panel,type2_match
cg01835474,-,False,
cg01860459,MYLK,False,
cg01862363,NTN1,False,
cg01870976,PCSK6,False,
cg01877352,CD6,False,
cg01889899,PCSK6,False,
cg01890712,OR9Q1,False,
cg01891966,HOXA9,False,
cg01892689,PGCP,False,
cg01898867,-,False,
cg01899624,-,False,
cg01901579,DICER1,False,
cg01907098,PDXK,False,
cg01912455,SMARCB1,False,
cg01914153,-,False,
cg01916918,CLU,False,
cg01920536,-,False,
cg01930756,-,False,
cg01932823,GPR97,False,
cg01933248,-,False,
cg01936839,-,False,
cg01942646,NR0B2,False,
cg01943337,DPY19L1,False,
cg01949993,LAMC2,False,
cg01960096,ARHGEF11,False,
cg01973605,CASZ1,False,
cg01975706,JAM2,False,
cg01976784,-,False,
cg01977079,PLEKHA7,False,
cg01981354,RNF170,False,
cg01981433,TNFAIP3,False,
cg01987702,-,False,
cg01990910,SNX29,False,
cg01991967,IL1RN,False,
cg01997461,FARP1,False,
cg02005664,HEG1,False,
cg02008416,TMEM61,False,
cg02010342,-,False,
cg02021127,PIP5KL1,False,
cg02021157,KCNQ1,False,
cg02022181,C7orf50;MIR339,False,
cg02023469,TMEM132A,False,
cg02030275,-,False,
cg02030493,C1orf88,False,
cg02033124,-,False,
cg02033302,-,False,
cg02037307,PITX1,False,
cg02038273,BNIP3,False,
cg02043994,-,False,
cg02045894,STAU2,False,
cg02057561,PTK7,False,
cg02057598,SLC7A5,False,
cg02067022,KCNQ5,False,
cg02069619,LPIN1,False,
cg02074714,-,False,
cg02084046,CXXC5,False,
cg02086310,ACSS1,False,
cg02091526,-,False,
cg02101203,FRMD4A,False,
cg02107844,SLCO3A1,False,
cg02112893,RAB11FIP4,False,
cg02114084,JDP2,False,
cg02115781,METTL8,False,
cg02116856,ACSL3,False,
cg02124446,C16orf74,False,
cg02124524,KIAA0182,False,
cg02140384,-,False,
cg02147126,AZU1,False,
cg02148324,ABCF2,False,
cg02149537,-,False,
cg02162324,HSF4;FBXL8,False,
cg02170785,-,False,
cg02172819,KCNMA1,False,
cg02175033,KIAA0247,False,
cg02178846,-,False,
cg02186444,ARMC7,False,
cg02206323,MIR1180;B9D1,False,
cg02216481,ALOX15B,False,
cg02221295,-,False,
cg02224394,PCDH15,False,
cg02225847,FAM65A,False,
cg02226672,SMPD3,False,
cg02233614,PFKFB2,False,
cg02237172,ZMYND10,False,
cg02237208,-,False,
cg02238012,IRX4,False,
cg02240622,PLCB2,False,
cg02245534,METRNL,False,
cg02246002,-,False,
cg02246876,CEBPE,False,
cg02251014,-,False,
cg02253701,-,False,
cg02257708,ARPC1B,False,
cg02272993,-,False,
cg02273797,-,False,
cg02278087,DENND5B,False,
cg02281662,KIF26A,False,
cg02295389,ASXL2,False,
cg02299328,RAPGEFL1,False,
cg02300652,CACNB4,False,
cg02305289,-,False,
cg02313379,-,False,
cg02317251,WDR1,False,
cg02323356,SPEG,False,
cg02324006,HMHA1,False,
cg02324835,-,False,
cg02328660,ARHGEF16,False,
cg02331830,PLEC1,False,
cg02338345,PDLIM1,False,
cg02342791,-,False,
cg02345747,LAMP3,False,
cg02346442,-,False,
cg02350636,SLC12A7,False,
cg02352252,-,False,
cg02353814,-,False,
cg02360862,MIXL1,False,
cg02371631,CDK15,False,
cg02372786,SIX3,False,
cg02376664,ZDHHC7,False,
cg02380813,GNAQ,False,
cg02383835,TLE2,False,
cg02385739,-,False,
cg02407372,C6orf164,False,
cg02410887,LYN,False,
cg02419362,SPPL3,False,
cg02426611,JPH3,False,
cg02427831,SIGLEC8,False,
cg02441090,OXCT1,False,
cg02446869,-,False,
cg02449461,ARRB1,False,
cg02449762,-,False,
cg02455383,CRYBB1,False,
cg02459569,LASS2,False,
cg02468250,PAX6,False,
cg02469356,SMURF1,False,
cg02473123,CD7,False,
cg02473287,YWHAQ,False,
cg02475695,NHLRC4,False,
cg02479022,SLC39A14,False,
cg02480298,PRR5L,False,
cg02481000,PRKCZ,False,
cg02484562,TBC1D2B,False,
cg02487130,SPEG,False,
cg02490736,FOXF2,False,
cg02493939,LOC80054;CEBPA,False,
cg02499139,TNIK,False,
cg02505596,-,False,
cg02513808,-,False,
cg02534164,-,False,
cg02539671,TREM2,False,
cg02541582,UGP2,False,
cg02543850,HIPK3,False,
cg02560388,-,False,
cg02569698,TULP1,False,
cg02573176,SLC10A5,False,
cg02579477,RGS5,False,
cg02580923,-,False,
cg02586198,MAZ,False,
cg02591634,BTNL2,False,
cg02595809,FOXD3,False,
cg02603518,-,False,
cg02607802,LMO7,False,
cg02611848,C2orf65,False,
cg02613380,UBTD1,False,
cg02618071,-,False,
cg02619834,ADD3,False,
cg02627657,CENPV,False,
cg02630629,KCNAB2,False,
cg02631196,MEGF6,False,
cg02633398,CBFA2T3,False,
cg02635407,SH3TC1,False,
cg02635623,BCKDK,False,
cg02639080,TRIM27,False,
cg02642126,TRAPPC9,False,
cg02699336,ERC2,False,
cg02699671,NXN,False,
cg02703728,UPP1,False,
cg02707114,-,False,
cg02709167,-,False,
cg02713760,BNC1,False,
cg02717470,-,False,
cg02721947,-,False,
cg02724047,B3GNT9,False,
cg02733847,LY6G5C,False,
cg02736288,-,False,
cg02737379,POPDC2,False,
cg02739870,SLC12A7,False,
cg02740007,-,False,
cg02741521,CPNE9,False,
cg02745912,-,False,
cg02747298,-,False,
cg02753354,HMHA1,False,
cg02761866,ASB8,False,
cg02766770,YPEL5,False,
cg02769614,EGFL8,False,
cg02769705,TMEM183B;TMEM183A,False,
cg02769743,TMEM201,False,
cg02770313,-,False,
cg02774632,RSU1,False,
cg02774856,HOMER3,False,
cg02780269,SECTM1,False,
cg02786019,TRPV6,False,
cg02789915,GYG1,False,
cg02794184,-,False,
cg02803925,PCYT1A,False,
cg02806739,CD7,False,
cg02811473,PPP1R16B,False,
cg02814118,CMIP,False,
cg02821342,MKLN1;FLJ43663,False,
cg02824888,-,False,
cg02826233,CDK2,False,
cg02835462,MAST2,False,
cg02836325,PGS1,False,
cg02836864,-,False,
cg02848448,CTTN,False,
cg02859042,NCOR2,False,
cg02863947,NR1I2,False,
cg02869444,-,False,
cg02871707,LOC100133545,False,
cg02893260,MTUS2,False,
cg02899346,RTN2,False,
cg02902412,ATP9B,False,
cg02902975,LRRC36;KCTD19,False,
cg02905198,ATP5G2,False,
cg02909097,RAP1GAP2,False,
cg02913511,CNNM4,False,
cg02927682,SSBP3,False,
cg02930951,CEBPB,False,
cg02931656,-,False,
cg02933639,SH3TC1,False,
cg02935097,BRDT,False,
cg02945192,CNN2,False,
cg02946885,C14orf143,False,
cg02947253,ADORA3,False,
cg02953520,TPK1,False,
cg02959486,-,False,
cg02964182,-,False,
cg02966574,CORO2B,False,
cg02970679,EPX,False,
cg02971546,SH3TC1,False,
cg02974976,CD58,False,
cg02977388,RNLS,False,
cg02977682,DERA,False,
cg02978139,KCNIP4,False,
cg02987547,-,False,
cg03002352,RAD51AP2,False,
cg03004484,-,False,
cg03004985,ALS2CL,False,
cg03008584,SHPRH,False,
cg03014427,PRPF39,False,
cg03018256,TTYH2,False,
cg03021496,OGFRL1,False,
cg03026306,CABYR,False,
cg03027244,-,False,
cg03030984,-,False,
cg03036422,PVRL1,False,
cg03037761,FZD4,False,
cg03047059,HHAT,False,
cg03054277,OBSCN,False,
cg03059991,-,False,
cg03060158,IP6K2,False,
cg03062454,RNF160,False,
cg03077077,TMEM155;LOC100192379,False,
cg03079733,RIPK4,False,
cg03086235,SOX7,False,
cg03088990,PLTP,False,
cg03092551,VRK2,False,
cg03094134,TRIM39,False,
cg03096746,HLA-G,False,
cg03110996,-,False,
cg03116466,MAD1L1,False,
cg03121834,PILRA,False,
cg03131366,-,False,
cg03131767,ABCB9,False,
cg03134653,BAT2,False,
cg03140135,EMP1,False,
cg03145924,-,False,
cg03146949,ZNF542,False,
cg03148503,-,False,
cg03154580,RALB,False,
cg03156546,TNRC6A,False,
cg03157027,OSR2,False,
cg03167633,-,False,
cg03168922,FASTK;TMUB1,False,
cg03180980,CPEB1,False,
cg03183631,-,False,
cg03190219,-,False,
cg03192231,ARPP-21,False,
cg03193589,FGD5,False,
cg03199646,ATXN7L1,False,
cg03209642,FES,False,
cg03210340,FLJ10357,False,
cg03217115,-,False,
cg03217729,CLEC16A,False,
cg03220633,FAM172A;MIR2277,False,
cg03221914,HIST1H2AJ,False,
cg03222066,ABCG4,False,
cg03222929,-,False,
cg03222975,JAKMIP1,False,
cg03227037,-,False,
cg03237648,SFMBT2,False,
cg03238090,-,False,
cg03238119,FOXK2,False,
cg03240663,SIGLEC14,False,
cg03243551,DAXX,False,
cg03249131,-,False,
cg03260624,CDC7,False,
cg03270395,TRAF3IP2,False,
cg03274401,ZDHHC2,False,
cg03278564,-,False,
cg03278639,-,False,
cg03285093,-,False,
cg03294491,SMAD2,False,
cg03309760,MAGEF1,False,
cg03327649,NEXN,False,
cg03340036,PIGY,False,
cg03340649,ZNF660,False,
cg03347095,PTPRN2,False,
cg03348466,CRTC3,False,
cg03351003,BCAR1,False,
cg03354113,KCNMA1,False,
cg03359540,MYLK4,False,
cg03365190,WHSC2,False,
cg03368046,FAM186A,False,
cg03374173,-,False,
cg03379131,ADAM15,False,
cg03395558,SHANK2,False,
cg03403168,-,False,
cg03406535,RBP7,False,
cg03411376,TRPM5,False,
cg03417182,SORBS1,False,
cg03428503,-,False,
cg03431738,ERG,False,
cg03440757,MOSC2,False,
cg03453890,SLC39A4,False,
cg03456938,HSF4;FBXL8,False,
cg03463208,-,False,
cg03469578,-,False,
cg03502236,MUC2,False,
cg03502791,-,False,
cg03505448,LOC255025,False,
cg03517466,RGS16,False,
cg03519157,DGKZ,False,
cg03519180,PDZD8,False,
cg03525433,CD96,False,
cg03526652,EXOC6B,False,
cg03533058,-,False,
cg03536404,ITSN2,False,
cg03546806,RBM19,False,
cg03547581,NUCKS1,False,
cg03550384,NECAB1,False,
cg03553914,BRSK2,False,
cg03554962,-,False,
cg03560879,C9orf24,False,
cg03564727,KCNA7,False,
cg03566479,TP53I3,False,
cg03567151,TEX101,False,
cg03567896,GRPEL1,False,
cg03578548,LOC286238,False,
cg03587907,NACC2,False,
cg03593669,-,False,
cg03595855,-,False,
cg03596479,CTSC,False,
cg03605420,FAM169A,False,
cg03606098,NADK,False,
cg03606509,CCDC50,False,
cg03608974,ZAK,False,
cg03611618,TNXB,False,
cg03630088,CPXM2,False,
cg03636234,RNF19A,False,
cg03637007,-,False,
cg03639929,-,False,
cg03654391,UBAC2,False,
cg03654623,AKAP8,False,
cg03660603,VGLL3,False,
cg03667317,FOXH1,False,
cg03671075,-,False,
cg03676947,-,False,
cg03690812,SH2B3,False,
cg03694157,GTF2IRD1,False,
cg03694279,-,False,
cg03702990,-,False,
cg03712541,SLC16A11,False,
cg03718025,-,False,
cg03720745,-,False,
cg03727333,SGMS1,False,
cg03730027,FLT4,False,
cg03733760,FGF19,False,
cg03766174,CMIP,False,
cg03767333,-,False,
cg03781505,-,False,
cg03806501,-,False,
cg03810301,GABBR1,False,
cg03819011,CDH4,False,
cg03832522,-,False,
cg03848074,-,False,
cg03854765,SLC23A2,False,
cg03863721,-,False,
cg03864128,CHMP4B,False,
cg03864483,UBE2E1,False,
cg03872623,AHSG,False,
cg03875819,-,False,
cg03880355,FAM169A,False,
cg03883331,ZNF238,False,
cg03890167,-,False,
cg03891590,C10orf140,False,
cg03892356,HOXC4;HOXC5;HOXC6,False,
cg03892838,LRRFIP1,False,
cg03894119,LOC642006,False,
cg03902462,LONRF1,False,
cg03904291,ABCG4,False,
cg03914735,ACPL2,False,
cg03915738,-,False,
cg03916189,-,False,
cg03916364,-,False,
cg03918071,FAM19A3,False,
cg03919942,MYLK,False,
cg03931518,FRAS1,False,
cg03956243,ATP5G2,False,
cg03960313,TNFRSF19,False,
cg03963011,ETS1,False,
cg03970350,TCN2,False,
cg03973663,LYN,False,
cg03983220,-,False,
cg04010248,C2orf85,False,
cg04017518,-,False,
cg04021697,WDR8,False,
cg04031105,-,False,
cg04031361,EDARADD,False,
cg04037640,TNXB,False,
cg04060366,-,False,
cg04064644,-,False,
cg04068564,ZNF831,False,
cg04068914,MTHFSD;FLJ30679,False,
cg04077085,SLC2A9,False,
cg04087039,PTPRN2,False,
cg04097131,JARID2,False,
cg04099767,ATP11A,False,
cg04100395,CLEC10A,False,
cg04114544,-,False,
cg04125370,LARP1,False,
cg04128237,-,False,
cg04131799,-,False,
cg04132353,CAPN14,False,
cg04135540,-,False,
cg04141129,BICD1,False,
cg04144533,RASSF5,False,
cg04148355,ERICH1,False,
cg04152196,PDE7B,False,
cg04152610,BRD4,False,
cg04153838,-,False,
cg04155147,-,False,
cg04162032,LOC646627,False,
cg04170298,AGBL1,False,
cg04172640,-,False,
cg04173396,-,False,
cg04176246,MSI2,False,
cg04176488,MGC23284,False,
cg04180086,IRX4,False,
cg04180114,ZC3H3,False,
cg04193015,ACACA,False,
cg04206417,EMID1,False,
cg04211179,ZBTB17,False,
cg04212081,-,False,
cg04212285,PTPRN2,False,
cg04215287,WWTR1,False,
cg04217850,SLC25A26,False,
cg04231085,-,False,
cg04232128,TMEM173,False,
cg04233686,-,False,
cg04237997,ESAM,False,
cg04244494,CCDC77,False,
cg04245961,MARK3,False,
cg04248512,-,False,
cg04250181,SLCO1B3,False,
cg04250873,-,False,
cg04255937,SETD1B,False,
cg04258124,CCDC19,False,
cg04260065,-,False,
cg04260867,ZBTB8A,False,
cg04264002,TNFAIP2,False,
cg04270048,TP53INP2,False,
cg04276301,OTX1,False,
cg04290133,GUSB,False,
cg04297406,LDB2,False,
cg04301614,C4orf19,False,
cg04304121,FAM179A,False,
cg04315923,-,False,
cg04321303,-,False,
cg04329390,PRR18,False,
cg04329478,LOC400696,False,
cg04334773,SMARCA4,False,
cg04338119,BANP,False,
cg04346459,NFYA;LOC221442,False,
cg04360675,-,False,
cg04362887,-,False,
cg04370174,SH3TC1,False,
cg04375036,PPP1CC,False,
cg04385523,C3orf23,False,
cg04391111,TP73;WDR8,False,
cg04395788,EXT1,False,
cg04396791,SHANK2,False,
cg04401763,-,False,
cg04406620,CYB5B,False,
cg04409030,SOCS2,False,
cg04410355,ADCK4,False,
cg04411086,-,False,
cg04415610,MIR548F5;DCLK1,False,
cg04423187,BRD4,False,
cg04424597,-,False,
cg04428139,DCAF5,False,
cg04431002,USP10,False,
cg04434994,C6orf222,False,
cg04442631,APOL4,False,
cg04459091,GFPT2,False,
cg04459545,USHBP1,False,
cg04468092,LGI2,False,
cg04478931,ARHGAP24,False,
cg04484126,-,False,
cg04493432,SH3TC1,False,
cg04497992,NHLRC4,False,
cg04504066,PAX6,False,
cg04504205,ZMYND8;LOC100131496,False,
cg04510874,FES,False,
cg04526104,-,False,
cg04535966,LPP,False,
cg04545296,ZNF641,False,
cg04546573,GULP1,False,
cg04552206,TLX1,False,
cg04557294,KIAA0247,False,
cg04557883,C6orf145,False,
cg04569594,SNX4,False,
cg04576707,MOBKL1A,False,
cg04578935,KIAA1614,False,
cg04581214,C19orf23,False,
cg04586023,HDAC10,False,
cg04587617,-,False,
cg04591709,-,False,
cg04597449,GPR150,False,
cg04599041,EPB41L2,False,
cg04600466,-,False,
cg04605681,SH3TC1,False,
cg04607379,PEX14,False,
cg04609694,-,False,
cg04613313,-,False,
cg04642923,-,False,
cg04653522,RAB38,False,
cg04657183,-,False,
cg04662983,PPM1E,False,
cg04664179,PRX,False,
cg04664309,-,False,
cg04671541,TAGLN3,False,
cg04671932,MAGI2,False,
cg04673465,CDS1,False,
cg04677410,MAML2,False,
cg04678231,NR4A1,False,
cg04681525,-,False,
cg04692506,SPI1,False,
cg04701505,POU4F3,False,
cg04704634,IL3,False,
cg04707332,TBX15,False,
cg04709306,IQGAP2,False,
cg04709771,RAB40C,False,
cg04730794,DOCK2,False,
cg04738464,-,False,
cg04739460,ZNF415,False,
cg04742985,DDX39,False,
cg04743650,VCAM1,False,
cg04744624,LAMB1,False,
cg04755561,PKMYT1,False,
cg04764056,CLC,False,
cg04768602,OSR2,False,
cg04774043,SFXN2,False,
cg04789365,MAP3K6,False,
cg04793632,PRKRIP1,False,
cg04803944,-,False,
cg04809787,CHRNB1,False,
cg04811540,-,False,
cg04813880,TMEM159;DNAH3,False,
cg04836151,-,False,
cg04840702,-,False,
cg04850059,-,False,
cg04851702,CMIP,False,
cg04855494,SRGAP3,False,
cg04858164,TCF12,False,
cg04860238,-,False,
cg04870918,FAM129A,False,
cg04875789,PODXL,False,
cg04877737,-,False,
cg04884579,EPHA1,False,
cg04884612,HLA-L,False,
cg04885574,SLC22A11,False,
cg04886783,TMEM52,False,
cg04887278,PGM3;RWDD2A,False,
cg04889221,CCDC37,False,
cg04896949,RAB42,False,
cg04913250,PRKG1,False,
cg04919592,IQCE,False,
cg04921771,TRIT1,False,
cg04929355,IL18,False,
cg04932340,-,False,
cg04938107,ENPP7,False,
cg04948284,LTBP3,False,
cg04949225,-,False,
cg04961225,-,False,
cg04966972,KCNK15,False,
cg04979811,-,False,
cg04982834,EVI5,False,
cg04983687,ZFPM1,False,
cg04986616,C11orf95,False,
cg04988729,PHRF1,False,
cg04991639,-,False,
cg04998447,PLIN1,False,
cg05003322,COL16A1,False,
cg05004855,CAMK2A,False,
cg05005217,CDCA2,False,
cg05014103,SPERT,False,
cg05021896,TRIM9,False,
cg05037033,-,False,
cg05044994,LPP;FLJ42393,False,
cg05051799,-,False,
cg05057352,XYLT1,False,
cg05061107,SF1,False,
cg05072552,CFL1,False,
cg05076697,-,False,
