outcome,clock,source,rg_frailty,se_frailty,rg_clock,se_clock,clock_rg_hi95,frailty_rg_lo95,ci_nonoverlap,diff,se_diff_rho0,z_rho0,p_rho0,se_diff_rho0p5,p_rho0p5,q_bh_rho0
L12_ATOPIC,IEAA,in_house_ST60,0.2502684670316468,0.0331910989101886,0.1611780734713964,0.0664807991891692,0.29148043988216804,0.18521391316767713,False,0.08909039356025039,0.07430575824050625,1.1989702503524766,0.23053951361204839,0.05757408206980344,0.12176573730626529,0.2514976512131437
L12_ATOPIC,PhenoAge,in_house_ST60,0.2502684670316468,0.0331910989101886,0.2736092302557877,0.1022075442260018,0.4739360169387512,0.18521391316767713,False,-0.023340763224140915,0.10746176596155507,-0.21720062959407513,0.8280519940510849,0.09030863986243694,0.7960554006469303,0.8280519940510849
ALLERG_ASTHMA,GrimAge,independent_ST126,0.458481,0.038021,0.166996,0.071582,0.30729672,0.38395984000000005,True,0.291485,0.0810529405080408,3.596229799597258,0.0003228626093969318,,,0.0005811526969144772
ALLERG_ASTHMA,Hannum,independent_ST126,0.458481,0.038021,0.117546,0.066063,0.24702947999999997,0.38395984000000005,True,0.34093500000000004,0.0762228076759181,4.472873807661054,7.71753257981288e-06,,,5.47681286794373e-05
ALLERG_ASTHMA,PhenoAge,independent_ST126,0.458481,0.038021,0.119459,0.067532,0.25182171999999997,0.38395984000000005,True,0.33902200000000005,0.07749946751429973,4.374507475647439,1.2170695262097178e-05,,,5.47681286794373e-05
ALLERG_RHINITIS,GrimAge,independent_ST126,0.354849,0.046426,-0.004528,0.086854,0.16570584,0.26385404,True,0.359377,0.09848345440732673,3.649110423296281,0.0002631499802514238,,,0.0005811526969144772
ALLERG_RHINITIS,Hannum,independent_ST126,0.354849,0.046426,0.038893,0.08597,0.20739420000000003,0.26385404,True,0.315956,0.09770473057124716,3.2337840568487324,0.0012216178524238844,,,0.0018324267786358267
ALLERG_RHINITIS,PhenoAge,independent_ST126,0.354849,0.046426,-0.014554,0.082792,0.14771832,0.26385404,True,0.36940300000000004,0.0949204337326795,3.891712094788088,9.95393204164422e-05,,,0.0002986179612493266
L12_ATOPIC,GrimAge,independent_ST126,0.250524,0.032992,0.090611,0.073199,0.23408104,0.18585968000000003,False,0.15991300000000003,0.08029050793836093,1.9916800143145854,0.046406177914075857,,,0.059665085889526105
L12_ATOPIC,Hannum,independent_ST126,0.250524,0.032992,0.110542,0.070774,0.24925904000000002,0.18585968000000003,False,0.13998200000000002,0.07808604958633777,1.7926633597365615,0.0730267686031515,,,0.08215511467854544
L12_ATOPIC,PhenoAge,independent_ST126,0.250524,0.032992,0.202576,0.071685,0.3430786,0.18585968000000003,False,0.04794800000000002,0.07891268142066901,0.6076082973837632,0.5434472963734789,,,0.5434472963734789
