scope,cpg,gene,in_type2_panel,type2_match
all_tissues,cg01829672,CLINT1,False,
all_tissues,cg01830023,-,False,
all_tissues,cg01831805,-,False,
all_tissues,cg01835368,C7orf36,False,
all_tissues,cg01835474,-,False,
all_tissues,cg01860459,MYLK,False,
all_tissues,cg01862363,NTN1,False,
all_tissues,cg01870976,PCSK6,False,
all_tissues,cg01877352,CD6,False,
all_tissues,cg01889899,PCSK6,False,
all_tissues,cg01890712,OR9Q1,False,
all_tissues,cg01891966,HOXA9,False,
all_tissues,cg01892689,PGCP,False,
all_tissues,cg01898867,-,False,
all_tissues,cg01899624,-,False,
all_tissues,cg01901579,DICER1,False,
all_tissues,cg01907098,PDXK,False,
all_tissues,cg01912455,SMARCB1,False,
all_tissues,cg01914153,-,False,
all_tissues,cg01916918,CLU,False,
all_tissues,cg01920536,-,False,
all_tissues,cg01930756,-,False,
all_tissues,cg01932823,GPR97,False,
all_tissues,cg01933248,-,False,
all_tissues,cg01936839,-,False,
all_tissues,cg01942646,NR0B2,False,
all_tissues,cg01943337,DPY19L1,False,
all_tissues,cg01949993,LAMC2,False,
all_tissues,cg01960096,ARHGEF11,False,
all_tissues,cg01973605,CASZ1,False,
all_tissues,cg01975706,JAM2,False,
all_tissues,cg01976784,-,False,
all_tissues,cg01977079,PLEKHA7,False,
all_tissues,cg01981354,RNF170,False,
all_tissues,cg01981433,TNFAIP3,False,
all_tissues,cg01987702,-,False,
all_tissues,cg01990910,SNX29,False,
all_tissues,cg01991967,IL1RN,False,
all_tissues,cg01997461,FARP1,False,
all_tissues,cg02005664,HEG1,False,
all_tissues,cg02008416,TMEM61,False,
all_tissues,cg02010342,-,False,
all_tissues,cg02021127,PIP5KL1,False,
all_tissues,cg02021157,KCNQ1,False,
all_tissues,cg02022181,C7orf50;MIR339,False,
all_tissues,cg02023469,TMEM132A,False,
all_tissues,cg02030275,-,False,
all_tissues,cg02030493,C1orf88,False,
all_tissues,cg02033124,-,False,
all_tissues,cg02033302,-,False,
all_tissues,cg02037307,PITX1,False,
all_tissues,cg02038273,BNIP3,False,
all_tissues,cg02043994,-,False,
all_tissues,cg02045894,STAU2,False,
all_tissues,cg02057561,PTK7,False,
all_tissues,cg02057598,SLC7A5,False,
all_tissues,cg02067022,KCNQ5,False,
all_tissues,cg02069619,LPIN1,False,
all_tissues,cg02074714,-,False,
all_tissues,cg02084046,CXXC5,False,
all_tissues,cg02086310,ACSS1,False,
all_tissues,cg02091526,-,False,
all_tissues,cg02101203,FRMD4A,False,
all_tissues,cg02107844,SLCO3A1,False,
all_tissues,cg02112893,RAB11FIP4,False,
all_tissues,cg02114084,JDP2,False,
all_tissues,cg02115781,METTL8,False,
all_tissues,cg02116856,ACSL3,False,
all_tissues,cg02124446,C16orf74,False,
all_tissues,cg02124524,KIAA0182,False,
all_tissues,cg02140384,-,False,
all_tissues,cg02147126,AZU1,False,
all_tissues,cg02148324,ABCF2,False,
all_tissues,cg02149537,-,False,
all_tissues,cg02162324,HSF4;FBXL8,False,
all_tissues,cg02170785,-,False,
all_tissues,cg02172819,KCNMA1,False,
all_tissues,cg02175033,KIAA0247,False,
all_tissues,cg02178846,-,False,
all_tissues,cg02186444,ARMC7,False,
all_tissues,cg02206323,MIR1180;B9D1,False,
all_tissues,cg02216481,ALOX15B,False,
all_tissues,cg02221295,-,False,
all_tissues,cg02224394,PCDH15,False,
all_tissues,cg02225847,FAM65A,False,
all_tissues,cg02226672,SMPD3,False,
all_tissues,cg02233614,PFKFB2,False,
all_tissues,cg02237172,ZMYND10,False,
all_tissues,cg02237208,-,False,
all_tissues,cg02238012,IRX4,False,
all_tissues,cg02240622,PLCB2,False,
all_tissues,cg02245534,METRNL,False,
all_tissues,cg02246002,-,False,
all_tissues,cg02246876,CEBPE,False,
all_tissues,cg02251014,-,False,
all_tissues,cg02253701,-,False,
all_tissues,cg02257708,ARPC1B,False,
all_tissues,cg02272993,-,False,
all_tissues,cg02273797,-,False,
all_tissues,cg02278087,DENND5B,False,
all_tissues,cg02281662,KIF26A,False,
all_tissues,cg02295389,ASXL2,False,
all_tissues,cg02299328,RAPGEFL1,False,
all_tissues,cg02300652,CACNB4,False,
all_tissues,cg02305289,-,False,
all_tissues,cg02313379,-,False,
all_tissues,cg02317251,WDR1,False,
all_tissues,cg02323356,SPEG,False,
all_tissues,cg02324006,HMHA1,False,
all_tissues,cg02324835,-,False,
all_tissues,cg02328660,ARHGEF16,False,
all_tissues,cg02331830,PLEC1,False,
all_tissues,cg02338345,PDLIM1,False,
all_tissues,cg02342791,-,False,
all_tissues,cg02345747,LAMP3,False,
all_tissues,cg02346442,-,False,
all_tissues,cg02350636,SLC12A7,False,
all_tissues,cg02352252,-,False,
all_tissues,cg02353814,-,False,
all_tissues,cg02360862,MIXL1,False,
all_tissues,cg02371631,CDK15,False,
all_tissues,cg02372786,SIX3,False,
all_tissues,cg02376664,ZDHHC7,False,
all_tissues,cg02380813,GNAQ,False,
all_tissues,cg02383835,TLE2,False,
all_tissues,cg02385739,-,False,
all_tissues,cg02407372,C6orf164,False,
all_tissues,cg02410887,LYN,False,
all_tissues,cg02419362,SPPL3,False,
all_tissues,cg02426611,JPH3,False,
all_tissues,cg02427831,SIGLEC8,False,
all_tissues,cg02441090,OXCT1,False,
all_tissues,cg02446869,-,False,
all_tissues,cg02449461,ARRB1,False,
all_tissues,cg02449762,-,False,
all_tissues,cg02455383,CRYBB1,False,
all_tissues,cg02459569,LASS2,False,
all_tissues,cg02468250,PAX6,False,
all_tissues,cg02469356,SMURF1,False,
all_tissues,cg02473123,CD7,False,
all_tissues,cg02473287,YWHAQ,False,
all_tissues,cg02475695,NHLRC4,False,
all_tissues,cg02479022,SLC39A14,False,
all_tissues,cg02480298,PRR5L,False,
all_tissues,cg02481000,PRKCZ,False,
all_tissues,cg02484562,TBC1D2B,False,
all_tissues,cg02487130,SPEG,False,
all_tissues,cg02490736,FOXF2,False,
all_tissues,cg02493939,LOC80054;CEBPA,False,
all_tissues,cg02499139,TNIK,False,
all_tissues,cg02505596,-,False,
all_tissues,cg02513808,-,False,
all_tissues,cg02534164,-,False,
all_tissues,cg02539671,TREM2,False,
all_tissues,cg02541582,UGP2,False,
all_tissues,cg02543850,HIPK3,False,
all_tissues,cg02560388,-,False,
all_tissues,cg02569698,TULP1,False,
all_tissues,cg02573176,SLC10A5,False,
all_tissues,cg02579477,RGS5,False,
all_tissues,cg02580923,-,False,
all_tissues,cg02586198,MAZ,False,
all_tissues,cg02591634,BTNL2,False,
all_tissues,cg02595809,FOXD3,False,
all_tissues,cg02603518,-,False,
all_tissues,cg02607802,LMO7,False,
all_tissues,cg02611848,C2orf65,False,
all_tissues,cg02613380,UBTD1,False,
all_tissues,cg02618071,-,False,
all_tissues,cg02619834,ADD3,False,
all_tissues,cg02627657,CENPV,False,
all_tissues,cg02630629,KCNAB2,False,
all_tissues,cg02631196,MEGF6,False,
all_tissues,cg02633398,CBFA2T3,False,
all_tissues,cg02635407,SH3TC1,False,
all_tissues,cg02635623,BCKDK,False,
all_tissues,cg02639080,TRIM27,False,
all_tissues,cg02642126,TRAPPC9,False,
all_tissues,cg02699336,ERC2,False,
all_tissues,cg02699671,NXN,False,
all_tissues,cg02703728,UPP1,False,
all_tissues,cg02707114,-,False,
all_tissues,cg02709167,-,False,
all_tissues,cg02713760,BNC1,False,
all_tissues,cg02717470,-,False,
all_tissues,cg02721947,-,False,
all_tissues,cg02724047,B3GNT9,False,
all_tissues,cg02733847,LY6G5C,False,
all_tissues,cg02736288,-,False,
all_tissues,cg02737379,POPDC2,False,
all_tissues,cg02739870,SLC12A7,False,
all_tissues,cg02740007,-,False,
all_tissues,cg02741521,CPNE9,False,
all_tissues,cg02745912,-,False,
all_tissues,cg02747298,-,False,
all_tissues,cg02753354,HMHA1,False,
all_tissues,cg02761866,ASB8,False,
all_tissues,cg02766770,YPEL5,False,
all_tissues,cg02769614,EGFL8,False,
all_tissues,cg02769705,TMEM183B;TMEM183A,False,
all_tissues,cg02769743,TMEM201,False,
all_tissues,cg02770313,-,False,
all_tissues,cg02774632,RSU1,False,
all_tissues,cg02774856,HOMER3,False,
all_tissues,cg02780269,SECTM1,False,
all_tissues,cg02786019,TRPV6,False,
all_tissues,cg02789915,GYG1,False,
all_tissues,cg02794184,-,False,
all_tissues,cg02803925,PCYT1A,False,
all_tissues,cg02806739,CD7,False,
all_tissues,cg02811473,PPP1R16B,False,
all_tissues,cg02814118,CMIP,False,
all_tissues,cg02821342,MKLN1;FLJ43663,False,
all_tissues,cg02824888,-,False,
all_tissues,cg02826233,CDK2,False,
all_tissues,cg02835462,MAST2,False,
all_tissues,cg02836325,PGS1,False,
all_tissues,cg02836864,-,False,
all_tissues,cg02848448,CTTN,False,
all_tissues,cg02859042,NCOR2,False,
all_tissues,cg02863947,NR1I2,False,
all_tissues,cg02869444,-,False,
all_tissues,cg02871707,LOC100133545,False,
all_tissues,cg02893260,MTUS2,False,
all_tissues,cg02899346,RTN2,False,
all_tissues,cg02902412,ATP9B,False,
all_tissues,cg02902975,LRRC36;KCTD19,False,
all_tissues,cg02905198,ATP5G2,False,
all_tissues,cg02909097,RAP1GAP2,False,
all_tissues,cg02913511,CNNM4,False,
all_tissues,cg02927682,SSBP3,False,
all_tissues,cg02930951,CEBPB,False,
all_tissues,cg02931656,-,False,
all_tissues,cg02933639,SH3TC1,False,
all_tissues,cg02935097,BRDT,False,
all_tissues,cg02945192,CNN2,False,
all_tissues,cg02946885,C14orf143,False,
all_tissues,cg02947253,ADORA3,False,
all_tissues,cg02953520,TPK1,False,
all_tissues,cg02959486,-,False,
all_tissues,cg02964182,-,False,
all_tissues,cg02966574,CORO2B,False,
all_tissues,cg02970679,EPX,False,
all_tissues,cg02971546,SH3TC1,False,
all_tissues,cg02974976,CD58,False,
all_tissues,cg02977388,RNLS,False,
all_tissues,cg02977682,DERA,False,
all_tissues,cg02978139,KCNIP4,False,
all_tissues,cg02987547,-,False,
all_tissues,cg03002352,RAD51AP2,False,
all_tissues,cg03004484,-,False,
all_tissues,cg03004985,ALS2CL,False,
all_tissues,cg03008584,SHPRH,False,
all_tissues,cg03014427,PRPF39,False,
all_tissues,cg03018256,TTYH2,False,
all_tissues,cg03021496,OGFRL1,False,
all_tissues,cg03026306,CABYR,False,
all_tissues,cg03027244,-,False,
all_tissues,cg03030984,-,False,
all_tissues,cg03036422,PVRL1,False,
all_tissues,cg03037761,FZD4,False,
all_tissues,cg03047059,HHAT,False,
all_tissues,cg03054277,OBSCN,False,
all_tissues,cg03059991,-,False,
all_tissues,cg03060158,IP6K2,False,
all_tissues,cg03062454,RNF160,False,
all_tissues,cg03077077,TMEM155;LOC100192379,False,
all_tissues,cg03079733,RIPK4,False,
all_tissues,cg03086235,SOX7,False,
all_tissues,cg03088990,PLTP,False,
all_tissues,cg03092551,VRK2,False,
all_tissues,cg03094134,TRIM39,False,
all_tissues,cg03096746,HLA-G,False,
all_tissues,cg03110996,-,False,
all_tissues,cg03116466,MAD1L1,False,
all_tissues,cg03121834,PILRA,False,
all_tissues,cg03131366,-,False,
all_tissues,cg03131767,ABCB9,False,
all_tissues,cg03134653,BAT2,False,
all_tissues,cg03140135,EMP1,False,
all_tissues,cg03145924,-,False,
all_tissues,cg03146949,ZNF542,False,
all_tissues,cg03148503,-,False,
all_tissues,cg03154580,RALB,False,
all_tissues,cg03156546,TNRC6A,False,
all_tissues,cg03157027,OSR2,False,
all_tissues,cg03167633,-,False,
all_tissues,cg03168922,FASTK;TMUB1,False,
all_tissues,cg03180980,CPEB1,False,
all_tissues,cg03183631,-,False,
all_tissues,cg03190219,-,False,
all_tissues,cg03192231,ARPP-21,False,
all_tissues,cg03193589,FGD5,False,
all_tissues,cg03199646,ATXN7L1,False,
all_tissues,cg03209642,FES,False,
all_tissues,cg03210340,FLJ10357,False,
all_tissues,cg03217115,-,False,
all_tissues,cg03217729,CLEC16A,False,
all_tissues,cg03220633,FAM172A;MIR2277,False,
all_tissues,cg03221914,HIST1H2AJ,False,
all_tissues,cg03222066,ABCG4,False,
all_tissues,cg03222929,-,False,
all_tissues,cg03222975,JAKMIP1,False,
all_tissues,cg03227037,-,False,
all_tissues,cg03237648,SFMBT2,False,
all_tissues,cg03238090,-,False,
all_tissues,cg03238119,FOXK2,False,
all_tissues,cg03240663,SIGLEC14,False,
all_tissues,cg03243551,DAXX,False,
all_tissues,cg03249131,-,False,
all_tissues,cg03260624,CDC7,False,
all_tissues,cg03270395,TRAF3IP2,False,
all_tissues,cg03274401,ZDHHC2,False,
all_tissues,cg03278564,-,False,
all_tissues,cg03278639,-,False,
all_tissues,cg03285093,-,False,
all_tissues,cg03294491,SMAD2,False,
all_tissues,cg03309760,MAGEF1,False,
all_tissues,cg03327649,NEXN,False,
all_tissues,cg03340036,PIGY,False,
all_tissues,cg03340649,ZNF660,False,
all_tissues,cg03347095,PTPRN2,False,
all_tissues,cg03348466,CRTC3,False,
all_tissues,cg03351003,BCAR1,False,
all_tissues,cg03354113,KCNMA1,False,
all_tissues,cg03359540,MYLK4,False,
all_tissues,cg03365190,WHSC2,False,
all_tissues,cg03368046,FAM186A,False,
all_tissues,cg03374173,-,False,
all_tissues,cg03379131,ADAM15,False,
all_tissues,cg03395558,SHANK2,False,
all_tissues,cg03403168,-,False,
all_tissues,cg03406535,RBP7,False,
