pair,w2_prior,p12,n_snps,pp_h0,pp_h1,pp_h2,pp_h3,pp_h4,verdict
IL4_eQTLGen_vs_RHINITIS,0.20^2,1e-05,175,1.8572117106607616e-53,0.00043845430456037753,4.1112694248407817e-50,0.9705678241757651,0.02899372151967444,H3_dominant
IL4_eQTLGen_vs_RHINITIS,0.20^2,5e-05,175,1.6642056499914753e-53,0.00039288904260293366,3.6840160796869923e-50,0.869704001660949,0.12990310929644802,H3_dominant
IL4_eQTLGen_vs_RHINITIS,0.20^2,0.0001,175,1.4728746529671196e-53,0.00034771923306554334,3.260470786721618e-50,0.7697155574715463,0.2299367232953881,H3_dominant
IL4_eQTLGen_vs_ATOPIC,0.15^2,1e-06,175,1.1076164078833264e-76,2.614883263176097e-27,4.235725309400334e-50,0.9999783993453704,2.160065462961895e-05,H3_dominant
IL4_eQTLGen_vs_ATOPIC,0.15^2,5e-06,175,1.1075207151934703e-76,2.6146573499345343e-27,4.2353593632609817e-50,0.9998920060578114,0.00010799394218870551,H3_dominant
IL4_eQTLGen_vs_ATOPIC,0.15^2,1e-05,175,1.1074011225806585e-76,2.614375013270491e-27,4.234902019497113e-50,0.9997840354384869,0.00021596456151304013,H3_dominant
IL4_eQTLGen_vs_ATOPIC,0.15^2,5e-05,175,1.106445310675226e-76,2.612118513153238e-27,4.2312468220388124e-50,0.998921109201148,0.0010788907988520226,H3_dominant
IL4_eQTLGen_vs_ATOPIC,0.15^2,0.0001,175,1.1052528635303582e-76,2.609303359766972e-27,4.226686688660786e-50,0.9978445439040452,0.00215545609595479,H3_dominant
IL4_eQTLGen_vs_ATOPIC,0.20^2,1e-06,175,1.3344583603126033e-76,3.150416341750703e-27,4.2357263760726613e-50,0.9999786537111938,2.1346288806324835e-05,H3_dominant
IL4_eQTLGen_vs_ATOPIC,0.20^2,5e-06,175,1.3343444271065705e-76,3.1501473659288803e-27,4.235364738797003e-50,0.9998932776684711,0.0001067223315287806,H3_dominant
IL4_eQTLGen_vs_ATOPIC,0.20^2,1e-05,175,1.3342020379543496e-76,3.1498112107325954e-27,4.2349127790314036e-50,0.9997865781138237,0.00021342188617626918,H3_dominant
IL4_eQTLGen_vs_ATOPIC,0.20^2,5e-05,175,1.3330640178060541e-76,3.1471245497028783e-27,4.231300570436518e-50,0.9989338007701213,0.001066199229878624,H3_dominant
IL4_eQTLGen_vs_ATOPIC,0.20^2,0.0001,175,1.331644219764469e-76,3.1437726617120477e-27,4.226793965965151e-50,0.9978698726803505,0.0021301273196494947,H3_dominant
IL4_TREG_NAIVE_vs_ASTHMA,0.15^2,1e-06,42,2.2541762805613613e-05,8.198748337001241e-06,0.5304208237429587,0.1901271161640318,0.27942131958186683,inconclusive
IL4_TREG_NAIVE_vs_ASTHMA,0.15^2,5e-06,42,1.0644529211355209e-05,3.8715612848178045e-06,0.2504719795577373,0.08978062892999512,0.6597328754217714,inconclusive
IL4_TREG_NAIVE_vs_ASTHMA,0.15^2,1e-05,42,6.4133990288348185e-06,2.3326411991652353e-06,0.15091101903617316,0.054093420850737844,0.7949868140728611,inconclusive
IL4_TREG_NAIVE_vs_ASTHMA,0.15^2,5e-05,42,1.5343253480487575e-06,5.580551753743454e-07,0.03610357016085061,0.012941173066076176,0.9509531643925497,H4_pass
IL4_TREG_NAIVE_vs_ASTHMA,0.15^2,0.0001,42,7.864490937313128e-07,2.8604232308575276e-07,0.018505605782746633,0.006633256657448028,0.9748600650683886,H4_pass
IL4_TREG_NAIVE_vs_ASTHMA,0.20^2,1e-06,42,2.757185826688944e-05,1.0028263053916924e-05,0.5304380217223328,0.1901336774942318,0.2793907006621146,inconclusive
IL4_TREG_NAIVE_vs_ASTHMA,0.20^2,5e-06,42,1.302056223900657e-05,4.735757088939449e-06,0.2504945879569231,0.08978892019468304,0.659698735529066,inconclusive
IL4_TREG_NAIVE_vs_ASTHMA,0.20^2,1e-05,42,7.845135963700048e-06,2.8533835614629307e-06,0.15092774525557032,0.05409952919320675,0.7949620270316977,inconclusive
IL4_TREG_NAIVE_vs_ASTHMA,0.20^2,5e-05,42,1.8768949877501327e-06,6.826524523499209e-07,0.03610842818956141,0.012942941416464914,0.9509460708465337,H4_pass
IL4_TREG_NAIVE_vs_ASTHMA,0.20^2,0.0001,42,9.620435007389675e-07,3.4990841753699095e-07,0.018508163156910652,0.006634187182246842,0.9748563377089243,H4_pass
IL4_TREG_NAIVE_vs_RHINITIS,0.15^2,1e-06,42,0.02504274944988061,0.009108391485470534,0.5127187522562283,0.18378943643770235,0.2693406703707181,inconclusive
IL4_TREG_NAIVE_vs_RHINITIS,0.15^2,5e-06,42,0.012055068512160082,0.004384593776840517,0.24681234375994326,0.08847248392202219,0.6482755100290339,inconclusive
IL4_TREG_NAIVE_vs_RHINITIS,0.15^2,1e-05,42,0.007313746056900242,0.0026601097633024255,0.14973973844675745,0.05367578622851939,0.7866106195045205,inconclusive
IL4_TREG_NAIVE_vs_RHINITIS,0.15^2,5e-05,42,0.0017638604890031105,0.0006415402546652247,0.03611282183235064,0.012945021307560828,0.9485367561164203,H4_pass
IL4_TREG_NAIVE_vs_RHINITIS,0.15^2,0.0001,42,0.0009052231031651753,0.0003292420595359271,0.01853330285866724,0.006643457592948478,0.9735887743856833,H4_pass
IL4_TREG_NAIVE_vs_RHINITIS,0.20^2,1e-06,42,0.03145702117134244,0.011441350094914909,0.5080777825908263,0.18212587914409029,0.266897966998826,inconclusive
IL4_TREG_NAIVE_vs_RHINITIS,0.20^2,5e-06,42,0.01521432815550902,0.005533659844584422,0.24573407859426746,0.08808599122643868,0.6454319421792005,inconclusive
IL4_TREG_NAIVE_vs_RHINITIS,0.20^2,1e-05,42,0.009246403795564616,0.0033630438930556277,0.14934320423415304,0.05353365822580185,0.7845136898514248,inconclusive
IL4_TREG_NAIVE_vs_RHINITIS,0.20^2,5e-05,42,0.0022344807725291124,0.0008127113072661762,0.03609019525290223,0.012936913921721584,0.9479256987455809,H4_pass
IL4_TREG_NAIVE_vs_RHINITIS,0.20^2,0.0001,42,0.00114710780496816,0.00041721884350596306,0.018527500959684185,0.006641379560859358,0.9732667928309824,H4_pass
IL4_TREG_NAIVE_vs_ATOPIC,0.15^2,1e-06,42,5.793861864913772e-28,2.107307034476784e-28,0.34215162656166803,0.11905732942263483,0.5387910440156972,inconclusive
IL4_TREG_NAIVE_vs_ATOPIC,0.15^2,5e-06,42,1.8363107406169e-28,6.67891404974816e-29,0.10844178225572595,0.03773411549417438,0.8538241022500995,H4_pass
IL4_TREG_NAIVE_vs_ATOPIC,0.15^2,1e-05,42,9.905528460807352e-29,3.6027765749951973e-29,0.058496263007964754,0.02035474425452457,0.9211489927375107,H4_pass
IL4_TREG_NAIVE_vs_ATOPIC,0.15^2,5e-05,42,2.1144893865411617e-29,7.69068794264567e-30,0.01248693876071913,0.00434503730540429,0.9831680239338765,H4_pass
IL4_TREG_NAIVE_vs_ATOPIC,0.15^2,0.0001,42,1.0662179709547715e-29,3.877981013121708e-30,0.006296460315021434,0.00219095772671109,0.9915125819582674,H4_pass
IL4_TREG_NAIVE_vs_ATOPIC,0.20^2,1e-06,42,6.980208487478484e-28,2.53879757418015e-28,0.34213699941573605,0.11905180784175118,0.5388111927425129,inconclusive
IL4_TREG_NAIVE_vs_ATOPIC,0.20^2,5e-06,42,2.212255781770135e-28,8.046277732676881e-29,0.10843437649071805,0.037731401676691395,0.8538342218325905,H4_pass
IL4_TREG_NAIVE_vs_ATOPIC,0.20^2,1e-05,42,1.1933406750810925e-28,4.340343725407555e-29,0.058491948855883276,0.02035316924907793,0.9211548818950388,H4_pass
IL4_TREG_NAIVE_vs_ATOPIC,0.20^2,5e-05,42,2.547358794146328e-29,9.265093354656198e-30,0.012485955051742985,0.004344679248603009,0.983169365699654,H4_pass
IL4_TREG_NAIVE_vs_ATOPIC,0.20^2,0.0001,42,1.2844887775117636e-29,4.6718618767023516e-30,0.006295960026257259,0.002190775696593228,0.9915132642771495,H4_pass
IL18_pQTL_vs_ATOPIC,0.15^2,1e-06,1171,3.5949010572526874e-46,0.09585520431177351,5.96078049005479e-46,0.15141218927498845,0.752732606413238,inconclusive
IL18_pQTL_vs_ATOPIC,0.15^2,5e-06,1171,8.962760945092838e-47,0.02389849589479452,1.4861341029330907e-46,0.03774989172252709,0.9383516123826784,H4_pass
IL18_pQTL_vs_ATOPIC,0.15^2,1e-05,1171,4.623908731437817e-47,0.012329288320098844,7.666999596148045e-47,0.019475254892544404,0.9681954567873569,H4_pass
IL18_pQTL_vs_ATOPIC,0.15^2,5e-05,1171,9.489258693412094e-48,0.0025302360658555206,1.5734337936966967e-47,0.003996742637652096,0.9934730212964924,H4_pass
IL18_pQTL_vs_ATOPIC,0.15^2,0.0001,1171,4.760164091531361e-48,0.00126926025023902,7.892927453181106e-48,0.00200491433541084,0.9967258254143503,H4_pass
IL18_pQTL_vs_ATOPIC,0.20^2,1e-06,1171,4.565954034622977e-46,0.1217475668722384,5.806809299002067e-46,0.14752673788938997,0.7307256952383717,inconclusive
IL18_pQTL_vs_ATOPIC,0.20^2,5e-06,1171,1.1639223018198766e-46,0.031035071137461852,1.48023278251894e-46,0.03760652407846127,0.9313584047840769,H4_pass
IL18_pQTL_vs_ATOPIC,0.20^2,1e-05,1171,6.026443869438108e-47,0.016069037761497987,7.664205560461097e-47,0.019471540851924693,0.9644594213865773,H4_pass
IL18_pQTL_vs_ATOPIC,0.20^2,5e-05,1171,1.240560977854158e-47,0.0033078581051212866,1.5776989797877916e-47,0.004008273250845544,0.9926838686440332,H4_pass
IL18_pQTL_vs_ATOPIC,0.20^2,0.0001,1171,6.225578464176186e-48,0.0016600014468788737,7.917457478397576e-48,0.0020114948055323313,0.9963285037475887,H4_pass
TNFSF14_pQTL_vs_ATOPIC,0.15^2,1e-06,2512,9.252463648365204e-66,0.012698613534138216,1.4244337563564907e-64,0.18749946627208355,0.7998019201937783,inconclusive
TNFSF14_pQTL_vs_ATOPIC,0.15^2,5e-06,2512,2.2033831979125478e-66,0.003024049892143994,3.3921488638865332e-65,0.044651153390316195,0.9523247967175399,H4_pass
TNFSF14_pQTL_vs_ATOPIC,0.15^2,1e-05,2512,1.1285945871389405e-66,0.0015489481551575614,1.737492075903447e-65,0.022870760779860277,0.9755802910649822,H4_pass
TNFSF14_pQTL_vs_ATOPIC,0.15^2,5e-05,2512,2.3021637084222272e-67,0.0003159621948986274,3.5442232723766174e-66,0.004665292218428723,0.9950187455866727,H4_pass
TNFSF14_pQTL_vs_ATOPIC,0.15^2,0.0001,2512,1.153955928241282e-67,0.00015837555190776554,1.7765363258952094e-66,0.0023384703671327184,0.9975031540809595,H4_pass
TNFSF14_pQTL_vs_ATOPIC,0.20^2,1e-06,2512,1.1456102627914475e-65,0.015723014475719128,1.3930969536572672e-64,0.18318572978995817,0.8010912557343227,H4_pass
TNFSF14_pQTL_vs_ATOPIC,0.20^2,5e-06,2512,2.7248116101753006e-66,0.0037396882501735244,3.3134538653449488e-65,0.043570367651374696,0.9526899440984519,H4_pass
TNFSF14_pQTL_vs_ATOPIC,0.20^2,1e-05,2512,1.395414371037453e-66,0.0019151469804388845,1.6968663536979269e-65,0.02231299842714709,0.975771854592414,H4_pass
TNFSF14_pQTL_vs_ATOPIC,0.20^2,5e-05,2512,2.8459912132291684e-67,0.0003906002110555266,3.460811951548191e-66,0.0045508057522185615,0.9950585940367259,H4_pass
TNFSF14_pQTL_vs_ATOPIC,0.20^2,0.0001,2512,1.4265201141138907e-67,0.00019578382921836942,1.7346918841845718e-66,0.0022810386450909364,0.9975231775256906,H4_pass
TNF_pQTL_vs_ATOPIC,0.15^2,1e-06,9300,4.312338460684969e-11,1.885316658346321e-11,0.6951065113950564,0.3038843963043745,0.0010090922385925397,H3_dominant
TNF_pQTL_vs_ATOPIC,0.15^2,5e-06,9300,4.2950022469564045e-11,1.8777374173305487e-11,0.6923120843908857,0.3026627378257699,0.005025177721616972,H3_dominant
TNF_pQTL_vs_ATOPIC,0.15^2,1e-05,9300,4.273527014211859e-11,1.8683486334017644e-11,0.6888504882637377,0.30114940852716104,0.010000103147682338,H3_dominant
TNF_pQTL_vs_ATOPIC,0.15^2,5e-05,9300,4.10915896039516e-11,1.796488357872426e-11,0.6623559759440409,0.28956662409101586,0.04807739990588673,H3_dominant
TNF_pQTL_vs_ATOPIC,0.15^2,0.0001,9300,3.920663646372059e-11,1.714079855203197e-11,0.6319723867755549,0.27628362572937626,0.0917439874387214,H3_dominant
TNF_pQTL_vs_ATOPIC,0.20^2,1e-06,9300,5.465168633984339e-11,2.389323927205349e-11,0.6951068099662862,0.3038845311716556,0.0010086587835134051,H3_dominant
TNF_pQTL_vs_ATOPIC,0.20^2,5e-06,9300,5.4432072786559376e-11,2.3797226147346386e-11,0.6923135772835953,0.3026633948051827,0.0050230278329927045,H3_dominant
TNF_pQTL_vs_ATOPIC,0.20^2,1e-05,9300,5.4160025471182025e-11,2.367828944044935e-11,0.6888534472452295,0.301150706424885,0.00999584625204706,H3_dominant
TNF_pQTL_vs_ATOPIC,0.20^2,5e-05,9300,5.20777795606375e-11,2.2767949740142166e-11,0.662369665876735,0.28957261314565513,0.048057720902764035,H3_dominant
TNF_pQTL_vs_ATOPIC,0.20^2,0.0001,9300,4.968980097372819e-11,2.172394638773385e-11,0.631997315287359,0.27629452783977054,0.09170815680145675,H3_dominant
TRAIL_pQTL_vs_ATOPIC,0.15^2,1e-06,1020,9.708502360875576e-37,0.915313834322074,5.010362907709625e-38,0.04685923774213903,0.037826927935786944,H3_dominant
TRAIL_pQTL_vs_ATOPIC,0.15^2,5e-06,1020,8.432586928629472e-37,0.7950210226041436,4.3518886016351266e-38,0.0407008806283347,0.16427809676752164,inconclusive
TRAIL_pQTL_vs_ATOPIC,0.15^2,1e-05,1020,7.24276008630716e-37,0.6828446097297751,3.737842886263705e-38,0.03495804030096916,0.2821973499692557,inconclusive
TRAIL_pQTL_vs_ATOPIC,0.15^2,5e-05,1020,3.402290563230709e-37,0.3207666337352215,1.7558537666899482e-38,0.01642155879909428,0.6628118074656841,inconclusive
TRAIL_pQTL_vs_ATOPIC,0.15^2,0.0001,1020,2.046106810136374e-37,0.19290615588309218,1.0559545937829673e-38,0.009875777117629818,0.797218066999278,inconclusive
TRAIL_pQTL_vs_ATOPIC,0.20^2,1e-06,1020,9.873156722939613e-37,0.9308373836684737,4.2049860999387635e-38,0.0393462823984239,0.029816333933102505,H3_dominant
TRAIL_pQTL_vs_ATOPIC,0.20^2,5e-06,1020,8.821104708365642e-37,0.8316503280782519,3.7569162250407406e-38,0.03515366834145452,0.13319600358029354,inconclusive
TRAIL_pQTL_vs_ATOPIC,0.20^2,1e-05,1020,7.784270929738252e-37,0.7338980418662628,3.315327810167786e-38,0.03102170165654285,0.23508025647719438,inconclusive
TRAIL_pQTL_vs_ATOPIC,0.20^2,5e-05,1020,4.011846919038758e-37,0.37823537036740146,1.708649118315359e-38,0.01598792222643332,0.6057767074061652,inconclusive
TRAIL_pQTL_vs_ATOPIC,0.20^2,0.0001,1020,2.498384053358922e-37,0.2355466788270772,1.0640639576067618e-38,0.009956504009987073,0.7544968171629358,inconclusive
